nazev,mira,sleva,stara_cena,nova_cena,platnost
 Tesco Asti šumivé víno sladké,75cl,-18%,159.90,129.90,31. 08. 2020
 Tesco Cava polosuché šumivé víno,75cl,-23%,129.90,99.90,31. 08. 2020
 Tesco Finest Cava Brut D.O.C. šumivé víno bílé tvrdé,750ml,-30%,199.90,139.90,31. 08. 2020
 Tesco Finest Prosecco Brut. D.O.C. šumivé víno tvrdé,750ml,-28%,249.90,179.90,31. 08. 2020
 Bohemia Sekt Nealkoholický,0.75l,-13%,149.90,129.90,18. 08. 2020
 Bohemia Sekt Rose Nealkoholický,0.75l,-13%,149.90,129.90,18. 08. 2020
 Bella Cucina Pinot Grigio víno bílé perlivé,750ml,-22%,89.90,69.90,18. 08. 2020
 HONEY´S Wine & Fruit & Honey Medová hruška,0.75l,-25%,119.90,89.90,31. 08. 2020
 HONEY´S Wine & Fruit & Honey Medová malina,0.75l,-25%,119.90,89.90,31. 08. 2020
 HONEY´S Wine & Fruit & Honey Medová meruňka,0.75l,-25%,119.90,89.90,31. 08. 2020
 HONEY´S Wine & Fruit & Honey Medový černý rybíz,0.75l,-25%,119.90,89.90,31. 08. 2020
 Avanti Classico,0.75l,-33%,67.90,44.90,31. 08. 2020
 Peñasol Sangria original,1.5l,-40%,99.90,59.90,31. 08. 2020
 Vicente Gandia Sandara Blanco ochucený nápoj na bázi vína,750ml,-25%,99.90,74.90,31. 08. 2020
 Vicente Gandia Sandara Lemon ochucený nápoj na bázi vína,750ml,-25%,99.90,74.90,31. 08. 2020
 Vicente Gandia Sandara Rosado ochucený nápoj na bázi vína,750ml,-25%,99.90,74.90,31. 08. 2020
 Vicente Gandia Sandara Sangria ochucený nápoj na bázi vína,750ml,-25%,99.90,74.90,31. 08. 2020
 Ballantine's Brasil,0.7l,-31%,439.90,299.90,07. 09. 2020
 Ballantine's Finest Skotská whisky,70cl,-31%,439.90,299.90,07. 09. 2020
 Chivas Regal 18yo,0.7l,-17%,1699.00,1399.00,01. 09. 2020
